id,title,description,genres,imdb_rating,views,ismovie,media_type_name,lang_id,language_name
132,IP MAN 3,"Ip Man 3 is a 2015 Hong Kong biographical martial arts film directed by Wilson Yip, produced by Raymond Wong and written by Edmond Wong with action choreography by Yuen Woo-ping.",Action,7.0,196201,1,Movie,2,हिन्दी
133,Tholi Prema,"Aditya, an outgoing young man, falls in love with Varsha, an introvert","Action, Drama, Love Story",7.0,251018,1,Movie,2,हिन्दी
134,Bhool Bhulaiyaa,Bhool Bhulaiyaa (transl. Labyrinth) is a 2007 Indian Hindi-language psychological horror film[1][2] directed by Priyadarshan,"Comedy, Horror",7.0,324776,1,Movie,2,हिन्दी
135,Tevar,Tevar (transl. Attitude) is a 2015 Indian Hindi-language action film directed by debutante Amit Ravindernath Sharma,"Action, Comedy, Love Story",4.0,457239,1,Movie,2,हिन्दी
138,TVF's Aspirants,UPSC - One of the toughest exams in the world. Nothing comes easy when you are preparing for it as an Aspirant.,"Comedy, Drama",9.0,225569,0,Series/TV Show,2,हिन्दी
144,The Acci  dental Prime Minister,"The Accidental Prime Minister is a 2019 Indian Hindi-language film directed by Vijay Ratnakar Gutte and written by Mayank Tewari, based on the 2014 memoir of the same name by Sanjaya Baru","Drama, Mystery, Thriller",6.0,356697,1,Movie,2,हिन्दी
156,Bhagam Bhag,Bhagam Bhag (transl. Running Around) is a 2006 Indian Hindi-language comedy thriller film written and directed by Priyadarshan from the screenplay by Neeraj Vora.,"Comedy, Thriller",7.0,263674,1,Movie,2,हिन्दी
157,Vijay the Master,Master is a 2021 Indian Tamil-language action film[3] written and directed by Lokesh Kanagaraj.,Action,7.0,322557,1,Movie,2,हिन्दी
158,Khatta Meetha,Khatta Meetha (transl. Sour and Sweet) is a 2010 Indian Hindi-language political satire comedy film written and directed by Priyadarshan,Comedy,6.0,478663,1,Movie,2,हिन्दी
159,Maari 2,Maari 2 is a 2018 Indian Tamil-language action comedy film written and directed by Balaji Mohan. It is a sequel to his 2015 film Maari.,"Action, Comedy",6.0,500394,1,Movie,2,हिन्दी
163,THE NUN,"The Nun (stylized as THE NUИ) is a 2018 American gothic supernatural horror film directed by Corin Hardy and written by Gary Dauberman, from a story by Dauberman and James Wan.",Horror,5.0,457393,1,Movie,2,हिन्दी
165,Yeh Jawaani Hai Deewani,"Yeh Jawaani Hai Deewani (transl. This youth is crazy), also abbreviated as YJHD, is a 2013 Indian Hindi-language coming-of-age romantic comedy-drama film directed by Ayan Mukerji","Comedy, Drama, Love Story",7.0,136522,1,Movie,2,हिन्दी
167,Baaghi 2,Baaghi 2 (transl. Rebel 2) is a 2018 Indian Hindi-language romantic martial-arts action thriller film directed by Ahmed Khan.,"Action, Love Story, Thriller",5.0,467161,1,Movie,2,हिन्दी
175,THE LOST CITY OF Z,"The Lost City of Z is a 2016 American biographical adventure drama film written and directed by James Gray, based on the 2009 book of the same name by David Grann","Drama, Adventure",7.0,366264,1,Movie,2,हिन्दी
176,PK,PK (transl. Tipsy) is a 2014 Indian Hindi-language satirical comedy drama film[a] edited and directed by Rajkumar Hirani,"Comedy, Drama",8.0,267462,1,Movie,2,हिन्दी
177,Haseena Parkar,Haseena Parkar,"Mystery, Thriller",4.0,256566,1,Movie,2,हिन्दी
181,World Famous Lover,World Famous Lover is a 2020 Indian Telugu-language romantic drama film written and directed by Kranthi Madhav.,"Drama, Love Story",5.0,256521,1,Movie,2,हिन्दी
186,Tere Naam,Tere Naam (transl. In your name) is a 2003 Indian Hindi-language romantic tragedy film directed by Satish Kaushik.,"Drama, Love Story",7.0,457061,1,Movie,2,हिन्दी
188,Journey to the West,"Journey to the West is regarded as one of the greatest Classic Chinese Novels,","Action, Comedy, Drama",7.0,7836604,1,Movie,2,हिन्दी
194,Golmaal 3,Golmaal 3 is a Indian Hindi-language action comedy film,"Action, Comedy",5.0,362768,1,Movie,2,हिन्दी
195,Dear Comrade,Dear Comrade is a Indian Telugu-language romantic action drama film,"Action, Drama, Love Story",7.0,256578,1,Movie,2,हिन्दी
197,VIP,The Unemployed Graduate,"Comedy, Drama",8.0,235670,1,Movie,2,हिन्दी
200,महाभारत (Mahabharat),Indian Hindi computer animated historical drama film,Drama,5.0,265638,1,Movie,2,हिन्दी
202,Phir Hera Pheri,"The movie story deals with Raju a tenant of Baburao Ganpatrao Apte aka Babu Bhaiyya and has not paid his rent for a long time. Raju does not believe in hard work and wants to earn easy money. He cons everybody, even his mother, who thinks that her son works in Calcutta. Baburao, a bespectacled long-sighted man, runs the ""Star Garage"". He has a familial debt with many money-lenders and has hard time with them. Shyam aka Ghanshyam has come to Mumbai from Gurgaon seeking a job in his late father's bank. Apparently his father died in a fire that broke out in the bank and he claims that the bank owes him the job. He badly needs the money for his friend Khadak Singh's sister's marriage. A young woman, Anuradha Panniker , is also in the running for the job, her father having died two minutes before Shyam's. Shyam meets Raju and a misunderstanding causes Shyam to think that Raju is a pickpocket. A fight ensues between the two, and Raju escapes, leaving his wallet with Shyam. After Raju leaves, Shyam discovers that he had his own wallet on him all the time. Unfortunately, this realisation comes just as Raju returns with two policemen, insisting that Shyam has robbed him.","Comedy, Drama",7.0,320608993,1,Movie,2,हिन्दी
203,Makkhi,The film was produced by Sai Korrapati's Vaaraahi Chalana Chitram,"Action, War",8.0,362733,1,Movie,2,हिन्दी
205,Ek Paheli Leela,Directed by Bobby Khan and produced by Bhushan Kumar,"Drama, Love Story, Thriller",4.0,496106,1,Movie,2,हिन्दी
207,Jersey,Directed by Gowtam Tinnanuri and produced by Suryadevara Naga,"Drama, Love Story",9.0,256598,1,Movie,2,हिन्दी
210,Hitman: Agent 47,Film directed by Aleksander Bach and written by Skip Woods,"Action, Thriller",6.0,49814,1,Movie,1,English
213,Dragon Blade,Directed by Daniel Lee starring Jackie Chan.,"Action, Thriller",6.0,20541919,1,Movie,2,हिन्दी
214,Race Gurram,Directed by Surender Reddy and produced by Nallamalupu Srinivas,"Action, Comedy",7.0,361648,1,Movie,25,తెలుగు
217,વેન્ટિલેટર,Ventilator... A ventilator is a piece of medical technology,"Comedy, Drama",7.0,425751,1,Movie,3,ગુજરાતી
218,તંબુરો,Tamburo...Directed by Shailesh Shankar,Comedy,7.0,256478,1,Movie,3,ગુજરાતી
219,Adirindhi,మారన్ అనే వైద్యుడు తన సహోద్యోగి డాక్టర్ అర్జున్ జకరియా హత్య కేసులో తప్పుడు అరెస్టు చేయబడ్డాడు. వైద్య పరిశ్రమలో అవినీతిని బట్టబయలు చేయాలనే లక్ష్యంతో అసలైన అపరాధి ఒక వ్యక్తి అని అతను త్వరలోనే తెలుసుకుంటాడు.,"Action, Drama, Love Story, Thriller",8.0,902263,1,Movie,25,తెలుగు
222,Apna Sapna Money Money,Our Dream is only Money and Money,Comedy,5.0,362628,1,Movie,2,हिन्दी
224,Odiyan,Directed by V. A. Shrikumar Menon in his feature film debut,"Action, Drama, War",5.0,452381,1,Movie,7,മലയാളം
227,Mr Majnu,"Directed by Venky Atluri, and produced by B. V. S. N. Prasad","Comedy, Love Story",6.0,456517,1,Movie,15,ಕನ್ನಡ
228,Dev,Dev is a 2019 Indian Tamil-language romantic action-adventure film,"Action, Comedy, Drama",5.0,362733,1,Movie,5,தமிழ்
229,પાસપોર્ટ,"Passport... Anna, an American student loses in her passport in Ahmedabad and Kabir helps her find it.","Comedy, Drama, Love Story",6.0,362636,1,Movie,3,ગુજરાતી
230,Undisputed 3,Directed by Isaac Florentine,Action,7.0,330994,1,Movie,1,English
236,Spyder,Directed by A. R. Murugadoss and produced by N. V. Prasad.,"Action, Thriller",6.0,256788,1,Movie,15,ಕನ್ನಡ
237,Maas (Maari),Film written and directed by Balaji Mohan,"Action, Comedy",6.0,456377,1,Movie,25,తెలుగు
238,Son of Sardaar,Film directed by Ashwni Dhir,"Action, Comedy",5.0,599363,1,Movie,2,हिन्दी
240,દુનિયાદારી,Duniyadari... Directed by Shital Shah,"Comedy, Love Story",8.0,325712,1,Movie,3,ગુજરાતી
245,Oopiri,"Directed by Vamshi Paidipally, and produced by PVP Cinema.","Comedy, Drama",8.0,9706011,1,Movie,25,తెలుగు
247,Saat Uchakke,Directed and written by Sanjeev Sharma,Comedy,6.0,325653,1,Movie,2,हिन्दी
250,તારી સાથે,Tari Sathe... The story revolves between two youngsters who are at the age of getting married.,"Comedy, Love Story, Fantasy",9.0,236325,1,Movie,3,ગુજરાતી
254,Mohan Kumar Fans,Film written and directed by Jis Joy,"Comedy, Drama",6.0,326588,1,Movie,7,മലയാളം
255,Raja The Great,Directed by Anil Ravipudi and produced by Dil Raju,"Action, Comedy",6.0,325830,1,Movie,25,తెలుగు
258,Autonagar Surya,Film directed by Deva Katta,Action,6.0,1080520,1,Movie,25,తెలుగు
260,Sinam,Directed by G. N. R. Kumaravelan.,Thriller,5.0,7336898,1,Movie,2,हिन्दी
261,Doctor G,Film directed by Anubhuti Kashyap,"Comedy, Drama",7.0,346758,1,Movie,2,हिन्दी
262,The Man Who Knew Infinity,"Srinivasa Ramanujan, an exceptionally gifted young mathematician, writes to Professor G H Hardy at Trinity College, Cambridge, and a beautiful friendship ensues between them.","Drama, Popular",7.0,428483,1,Movie,1,English
263,સાહેબ,SAHEB... The film is directed by Shailesh Prajapati,"Comedy, Drama, Love Story, Fantasy",6.0,325694,1,Movie,3,ગુજરાતી
264,MEPPADIYAN,Film written and directed by Vishnu Mohan,Drama,7.0,256413,1,Movie,7,മലയാളം
265,The Warriorr,Film directed by N. Lingusamy,"Action, Love Story, Fantasy",5.0,262874,1,Movie,25,తెలుగు
269,Sabhaapathy,Film directed by debutant R. Srinivasa Rao,Comedy,7.0,236356,1,Movie,5,தமிழ்
270,Bhoothnath Returns,Film directed by Nitesh Tiwari,Comedy,7.0,213712,1,Movie,2,हिन्दी
272,મિજાજ,Mijaaj... Film directed by Tapan Vyas,"Action, Drama",7.0,236279,1,Movie,3,ગુજરાતી
273,Upacharapoorvam Gunda Jayan,Film directed by Arun Vaiga,"Comedy, Drama",6.0,236228,1,Movie,7,മലയാളം
274,Saakini Daakini,Film directed by Sudheer Varma,"Action, Comedy",6.0,362250,1,Movie,25,తెలుగు
279,Abrahaminte Santhathikal,Directed by debutant Shaji Padoor,"Action, Thriller",7.0,326313,1,Movie,7,മലയാളം
280,AARKKARIYAM,Film directed and co-written by Sanu John Varghese,"Drama, Mystery",7.0,326240,1,Movie,7,മലയാളം
281,Manoharam,Film directed by Anvar Sadik,"Comedy, Drama",7.0,326223,1,Movie,7,മലയാളം
282,Kappal,Film directed by Karthik G,"Comedy, Love Story, Fantasy",6.0,326353,1,Movie,5,தமிழ்
284,લવ ની ભવાઈ,Love Ni Bhavai... Film directed by Saandeep Patel,"Drama, Love Story, Fantasy",8.0,261648,1,Movie,3,ગુજરાતી
286,Rebel,Film written and directed by Raghava Lawrence,Action,5.0,236615,1,Movie,25,తెలుగు
291,Time Jumpers,"When a young man finds a time machine device, his life spins out of control.",Sci-fi,3.4,1040881,1,Movie,1,English
292,આવુજ રહેશે,Aavuj Reshe... Three happy-go-lucky friends,"Comedy, Drama",6.0,214572,1,Movie,3,ગુજરાતી
294,Mirchi,Film written and directed by debutante Koratala Siva,"Action, Drama",7.0,321655,1,Movie,25,తెలుగు
297,Asehi Ekada Vhave,Asehi Ekada Vhave (असेही एकदा व्हावे) Full Marathi Movie,"Drama, Love Story",7.2,2174002,1,Movie,14,मराठी
308,Theeran Adhigaaram Ondru,Written and directed by H. Vinoth,"Action, Thriller",8.0,321748,1,Movie,5,தமிழ்
310,શોર્ટ સર્કિટ,Short Circuit... Directed by Faisal Hashmi,"Comedy, Sci-fi",8.0,325255,1,Movie,3,ગુજરાતી
311,Nna Thaan Case Kodu,Film written and directed by Ratheesh Balakrishnan Poduval,"Comedy, Drama",8.0,425251,1,Movie,7,മലയാളം
312,Oh My Friend,Film written and directed by newcomer Venu Sri Ram,"Drama, Love Story, Fantasy",7.0,321649,1,Movie,25,తెలుగు
318,ધુમ્મસ,Dhummas... A young woman marries a man for his polite and chivalrous nature,"Love Story, Thriller, Fantasy",7.0,214580,1,Movie,3,ગુજરાતી
319,Legend,Film written and directed by Boyapati Srinu,"Action, Drama",6.0,231719,1,Movie,25,తెలుగు
323,jigarthanda,Film written and directed by Karthik Subbaraj,"Action, Comedy",8.0,321670,1,Movie,5,தமிழ்
325,Memories,Film written and directed by Jeethu Joseph,"Action, Thriller",8.0,425244,1,Movie,7,മലയാളം
330,Thangamagan,Film written and directed by Velraj Dhanush,Drama,6.0,325290,1,Movie,5,தமிழ்
333,Darvinte Parinamam,"When gang leader Darvin's brother causes Amala to have a miscarriage, Amala's husband Anil fights him. Anil begins to face Darvin's wrath and he must figure out a way to defeat the gangster.","Action, Comedy",5.0,636819,1,Movie,2,हिन्दी
338,MO,film written and directed by Bhuvan Nullan,"Comedy, Horror",6.0,325347,1,Movie,5,தமிழ்
339,બસ એક ચાન્સ,Bas Ek Chance... Film directed by Kirtan Patel,"Comedy, Drama",7.0,362547,1,Movie,3,ગુજરાતી
340,Style,Film directed by Binu Sadanandan,"Action, Thriller",5.0,325229,1,Movie,7,മലയാളം
346,કેવી રીતે જઈશ,Kevi Rite Jaish... Film directed by Abhishek Jain,Drama,8.0,325168,1,Movie,3,ગુજરાતી
347,Ann Maria Kalippilaanu,Film directed by Midhun Manuel Thomas,"Drama, War",7.0,18096,1,Movie,7,മലയാളം
352,Vettai,film written and directed by N. Linguswamy,"Action, Thriller",6.0,325269,1,Movie,5,தமிழ்
353,Forest Fairies,Amanda stumbles upon a hidden village of fairies in the forest.,"War, Adventure",6.0,321230,1,Movie,1,English
354,લવ ની લવ સ્ટોરીસ,Luv Ni Love Storys... Film written and directed by Durgesh Tanna,"Comedy, Drama",7.0,321506,1,Movie,3,ગુજરાતી
360,Vivegam,Film written and directed by Siva.,"Action, Thriller",5.0,322507,1,Movie,1,English
361,12 Dogs of Christmas,A girl who uses dogs to teach people about the true meaning of Christmas during the Depression.,"Comedy, Drama",5.0,202292,1,Movie,1,English
379,BILLIONAIRE RANSOM,written by Alexander Ignon,Thriller,6.0,252704,1,Movie,1,English
384,Madura Veeran,Film written and directed by cinematographer P. G. Muthiah,"Action, Drama",6.0,215617,1,Movie,5,தமிழ்
386,Heaven's Door,A girl whose parents are divorcing suffers,Drama,5.4,362956,1,Movie,1,English
391,Munda Faridkotia,Directed by Mandeep Chaahal,"Comedy, Drama",6.3,321622,1,Movie,12,ਪੰਜਾਬੀ
394,ZERO Made In India,Highlighting their unique relationship,Drama,8.8,320269,1,Movie,15,ಕನ್ನಡ
395,Maattrraan,A pair of conjoined twins,"Action, Thriller",6.1,215390,1,Movie,5,தமிழ்
398,Kariya 2,A man loses his memory under mysterious circumstances,Action,7.3,321117,1,Movie,15,ಕನ್ನಡ
400,Karshanam,Directed by Sharavana,"Love Story, Fantasy",6.3,698153,1,Movie,2,हिन्दी
963,Muzaffarnagar,A shooter named Dev comes to his hometown on a break and tries to woo a woman preparing for the IPS exam. But his love and loved ones are threatened when deadly communal riots break out in his town and Dev takes on the goons to save the villagers.,"Action, Drama",8.5,2715947,1,Movie,2,हिन्दी
964,The Legend Of Bhagat Singh,Watch out this truly inspirational movie to witness Bhagat Singh's journey.,"Action, Mystery",9.4,8991214,1,Movie,2,हिन्दी
966,Netaji Subhas Chandra Bose,The Forgotten Hero,"Action, Thriller",9.8,37000090,1,Movie,2,हिन्दी
967,Gangaajal,"Gangaajal: The Holy Weapon is a 2003 Indian Hindi-language action crime drama film written, directed, co-produced and edited by Prakash Jha.","Action, Drama",8.5,16000198,1,Movie,2,हिन्दी
968,Zameen,"Ajay Devgan, Abhishek Bachchan, Bipasha Basu, Mukesh Tiwari, Pankaj Dheer, Mohan Joshi, Amrita Arora & Eijaz Khan. Directed by Rohit Shetty","Action, Drama, War",8.2,33000211,1,Movie,2,हिन्दी
977,Rakht Charitra 1,Enjoy the Bollywood Super hit action Hindi movie 'Rakht Charitra 1',"Action, Crime",7.9,8301336,1,Movie,2,हिन्दी
978,Rakht Charitra 2,"Star Cast: Vivek Oberoi, Radhika Apte, Suriya,Shatrughan Sinha","Action, Crime",8.3,14256740,1,Movie,2,हिन्दी
983,Singh Saab The Great,"Singh Saab is a responsible tax collector who believes in honesty, but Bhoodev, a conniving man, plots against him. Singh adopts a unique way to teach Bhoodev a lesson.","Action, Drama, Thriller",9.2,59560338,1,Movie,2,हिन्दी
984,Madam Geeta Rani,The film is about a headmaster converting a poorly run school into one of the best in the state.,"Drama, Mystery",9.2,319000082,1,Movie,2,हिन्दी
1018,S/O Krishnamurthy,Presenting Latest Super Hit Film And National Award Winning Movie S/O Krishnamurthy (Sathamanam Bhavathi).,"Drama, Love Story",9.1,111237066,1,Movie,2,हिन्दी
1020,Srinivasa Kalyanam,Srinivas is a traditional guy who believes that marriage is the greatest festival. He meets Sri & both eventually fall in love with each other. Sri's father RK believes that marriage is not worth wasting a lot of time. The moral conflict arises as R.K. & Srinivas have contradictory views about the marriage. How Srinivas changes the views of R.K & blissfully marriage occurs is the rest of the story.,"Drama, Thriller",8.4,240000123,1,Movie,2,हिन्दी
1035,Sarrainodu,"Starcast:- Allu Arjun, Rakul Preet Singh, Catherine Tresa, Srikanth, Aadhi Pinisetty","Action, Drama, Thriller",6.6,171000407,1,Movie,2,हिन्दी
1045,Golmaal,"Fun Unlimited, Ajay Devgan, Arshad Warsi, Rimi Sen","Comedy, Drama",9.0,60000121,1,Movie,2,हिन्दी
1064,Aravind Sametha,"A young man sets out to avenge his father's death but soon realises that violence is not the key to his salvation. His life changes when he meets another man, who helps him rediscover himself.A young man sets out to avenge his father's death but soon realises that violence is not the key to his salvation. His life changes when he meets another man, who helps him rediscover himself.","Action, Thriller",7.3,12943523,1,Movie,2,हिन्दी
1073,Hera Pheri,"Full Hindi Comedy Movie | Akshay Kumar, Sunil Shetty, Paresh Rawal, Tabu","Comedy, Drama",8.1,262000235,1,Movie,2,हिन्दी
1075,Dhamaal,Dhamaal is about four friends afflicted by the get rich quick virus. Their fortunes take a turn after they accidentally bump into a victim who tells them about a hidden treasure who tells them about a hidden treasure in Goa including 10 crore rupees. The group race toward Goa in Contractors stolen car little knowing that their plans will soon be foiled albeit hilariously by Police Inspector Kabir Nayak - Sanjay Dutt.,Comedy,7.4,64000181,1,Movie,2,हिन्दी
1108,Bahubali 2,"Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah, Ramya Krishna, Sathyaraj Nassar",Action,8.2,4124473,1,Movie,2,हिन्दी
1119,Angrej,"Starring : Amrinder Gill, Aditi Sharma, Sargun Mehta, Binnu Dhillon ,Ammy Virk,Sardar Sohi,Nirmal Rishi, Hobby Dhaliwal",Romance,8.5,60000065,1,Movie,12,ਪੰਜਾਬੀ
1122,Shareek,Shareek addresses the ruthless land wars in feudal Punjab through an emotionally charged story between two families.,Drama,7.4,76,1,Movie,12,ਪੰਜਾਬੀ
1127,Chaar Sahibzaade,"Ajit Singh, Jujhar Singh, Zorawar Singh and Fateh Singh, the four sons of Guru Gobind Singh Ji, sacrifice their lives in an important battle against the Mughals.","Drama, Mystery",7.8,7374567,1,Movie,12,ਪੰਜਾਬੀ
1134,Jaddi Sardar,"Starring - Sippy Gill, Dilpreet Dhillon, Sawan Rupowali, Guggu Gill, Hobby Dhaliwal, Anita Devgan",Drama,8.1,36000077,1,Movie,12,ਪੰਜਾਬੀ
1135,Moosa Jatt,| Sidhu Moose Wala | Sweetaj Brar |,Action,8.3,34000082,1,Movie,12,ਪੰਜਾਬੀ
1140,Khoonkhar,"Jaya Janaki Nayaka, Star Cast: Bellamkonda Sreenivas, Rakul Preet Singh, Pragya Jaiswal, Jagapathi Babu, Sarath Kumar","Action, Drama",8.1,702000125,1,Movie,2,हिन्दी
1141,Sita Ram,"A young Ram is left in a monastery by his uncle with a promise that Sita will come for him and take care of him. Years later, he is ecstatic when he meets Sita. Sita is also being chased by a local MLA (Sonu Sood), with whom she has signed an agreement and has defaulted on the same.  Can Ram save Sita from him? Find out when the story unfolds!","Drama, Romance",8.6,580000082,1,Movie,2,हिन्दी
1142,The Super Khiladi 3,"Nenu Sailaja, Hari a young DJ, keeps getting rejected by every girl he proposes to. When he faces another brutal rejection by Sailaja, a girl he truly loves, he sets out to change her mind. Starcast :- Ram Pothineni, Keerthy Suresh, Sathyaraj, Dhanya Balakrishna","Comedy, Romance",9.0,530000104,1,Movie,2,हिन्दी
1143,Daana Paani,"Staring- Jimmy Sheirgill, Simi Chahal, Gurpreet Ghuggi, Nirmal Rishi, Kanika Mann",Drama,7.8,28000047,1,Movie,12,ਪੰਜਾਬੀ
1145,Rabb Da Radio,"Starring :- Tarsem Jassar, Mandy Takhar, Simi Chahal, Anita Devgan, Gurmeet Saajan, Nirmal Rishi, Shivendera Singh Mahal, Sunita Dhir, Tarsem Paul, Seema Kaushal, Malkeet Rauni, Satwant Kaur, Dheeraj Kumar, Jagjit Singh, Harblas Sangha, Jasneet Kaur, Siddhi Malhotra",Drama,7.2,41000054,1,Movie,12,ਪੰਜਾਬੀ
1146,Laung Laachi,| Ammy Virk | Neeru Bajwa | Amberdeep Singh |,"Drama, Romance",7.1,29000096,1,Movie,12,ਪੰਜਾਬੀ
1147,K.G.F,"KGF, Star Cast = Rocky, a young man, seeks power and wealth in order to fulfil a promise to his dying mother. His quest takes him to Mumbai, where he gets involved with the notorious gold mafia. Starcast:- Yash, Srinidhi Shetty, Ananth Nag, Ramachandra Raju, Achyuth Kumar, Malavika Avinash","Action, Drama, Crime",8.2,693001085,1,Movie,2,हिन्दी
1149,Atumgiri,"An 18-year-old Mithu is in love with a girl since his childhood but is unable to grab her attention. He professes his love to her but ends up heartbroken. Frustrated with the entire situation, he attempts to commit suicide but is saved by his friends Samar and Asif. In order to help Mithu, his two friends take him to Uttam Tonge, who teaches them how to pursue girls.","Drama, Romance",7.1,11210095,1,Movie,14,मराठी
1150,Thank You Vitthala,"The story of one such person who is fed up of his life. But, during his life journey, he finds the company of Vitthala, which changes his life.",Drama,7.6,383,1,Movie,14,मराठी
1151,Kaakan,काकण क्रांती रेडकर दिग्दर्शित मराठी भाषेतील चित्रपट आहे. या चित्रपटात अभिनेता जितेंद्र जोशी आणि अभिनेत्री ऊर्मिला कानिटकर यांच्या प्रमुख भूमिका आहेत.,Love Story,7.5,3100092,1,Movie,14,मराठी
1152,Odh,ही कथा दोन किशोरांभोवती फिरते आहे जे चांगले मित्र आहेत आणि कठीण काळात एकमेकांच्या पाठीशी उभे आहेत. पण समाजात एखादा मुलगा आणि मुलगी फक्त मित्र म्हणूनच दिसते का? त्यासाठी पहा संपूर्ण चित्रपट फ़क्त आणि फक़्त मराठी वर.,Romance,7.2,3400062,1,Movie,14,मराठी
1154,Gavthi,"Gavthi is a Marathi romantic movie about a young village boy Gajanan (Shrikant Patil) - his rags to riches story and all the struggles he lives through. Success came with enormous sacrifices for Gajanan, who gave up everything, including his childhood love, to make it big in the city! Watch Gavthi to know how Gajanan became successful & whether he actually got over his childhood love!",Drama,7.5,3300292,1,Movie,14,मराठी
1155,Asa Mee Tasa Mee,Mohan is a simple villager who works with his family in the village hospital. He is an exceptionally gifted man just not where looks are concerned. To utilize this gift he has to change his appearance which happens accidentally. Mohan rebels against society and takes a stand against the prevalent system and norms to prove his point. This film revolves around him and his villagers and also highlight todays human tendency of giving more importance to the shallow side of life like fame and fortune as opposed to basic humanity.,Comedy,8.5,5400054,1,Movie,14,मराठी
1157,Chahto Mi Tula,"Cast - Prasad Oak, Meghan Jadhav, Sulekha Talwalkar, Shruti Marathe, Bharat Ganeshpure","Drama, Romance",7.5,1820320,1,Movie,14,मराठी
1158,Karaar,"Unable to conceive a child, a married couple turns to surrogacy but find themselves in a strange situation. Star Cast - Subodh Bhave, Urmila Kanetkar Kothare, Kranti Redkar",Drama,7.2,1000105,1,Movie,14,मराठी
1159,Mumbai Apli Ahe,"Raja, a small-time criminal who stands up against people harassing the helpless and poor in his neighbourhood, grows up to become one of the most dreaded gangsters in Mumbai.","Action, Thriller, Romance",7.6,366540,1,Movie,14,मराठी
1164,ગુજ્જુભાઇ મોસ્ટ વોન્ટેડ,"Gujjubhai Most Wanted... Arvind Divetia (Randeria) and his son Khagesh aka KD (Trivedi) have an uncanny knack of getting into trouble, mostly because of their own wrongdoings. They live a happy life, until one day when they go on a road trip to a small town called Pindasar, which goes rogue and they unwittingly find themselves being perceived as secret agents and land in Pakistan. What follows is a series of comic events and how they get out of the situation, forms the crux.","Comedy, Drama",7.5,2922054,1,Movie,3,ગુજરાતી
1165,શરતો લાગુ,Sharato Lagu... Malhar Thakar | Deeksha Joshi,"Comedy, Drama",7.4,2839354,1,Movie,3,ગુજરાતી
1166,ગોળ કેરી,Gol keri... Gol keri is a full of Comedy With Drama Movie,"Comedy, Drama",7.9,128800,1,Movie,3,ગુજરાતી
1170,Baandhon,"Dandeswar and Hkawni, both age 73, arrive in Mumbai to look for their beloved grandson - the only other living member of the family who has been missing since the 26/11 2008 terror attack.",Drama,8.4,18942,1,Movie,6,Other
1187,The Japanese Wife,"Pen pals decide to get married and carry-on a long-term relationship. Stars: Rahul Bose, Chigusa Takaku, Raima Sen, Moushumi Chatterjee","Drama, Romance",7.6,9254130,1,Movie,13,বাংলা
1188,Sahaj Paather Gappo,"(Colours of Innocence) A 10-year-old boy leaves his carefree childhood behind when his father meets has an accident, leaving his family destitute.",Drama,8.4,796,1,Movie,13,বাংলা
1189,61 No. Garpar Lane,"Watch the nostalgic Bengali Movie  “61 No. Garpar Lane : ৬১ নং গড়পাড় লেন” বাংলা সিনেমা, Directed by Ipsita Roy Sarkar & Rajesh Dutta, starring Priyanshu Chatterjee, 61 No. Garpar Lane | Kharaj Mukherjee, Soumitra Chatterjee, Sumit Samaddar, Sujon Mukhopadhyay, Sudipta Chakraborty, Pushpita Mukherjee",Drama,7.0,8354968,1,Movie,13,বাংলা
1191,Zombiesthaan,"Star Cast: Tanusree Chakrobarty, Rudranil Ghosh, Rajatava Dutta, Debolina Biswas, Jina Tarafder, Sourav Saha, Souman Bose and others.","Action, Horror",7.2,801901,1,Movie,13,বাংলা
1192,Professor,| Professor | Varalaxmi Sarathkumar | Poonam Bajwa|,Action,7.9,7105268,1,Movie,15,ಕನ್ನಡ
1193,Ugram,"Starring: Sri Murali.Also Starring Haripriya  Avinash, Jai Jagadish, Padmaja Rao, Athul Kulakarni, Thilak, Mithra, Giri, Suresh Chandra, Sandeep",Action,9.0,45195264,1,Movie,15,ಕನ್ನಡ
1194,Mr & Mrs Ramachari,"Star Cast : Yash, Radhika Pandith, Dhyan , Srinath, Achyuth Kumar, Sadhu Kokila, Malavika Avinash, Vishal Hegde","Drama, Romance",7.8,72902988,1,Movie,15,ಕನ್ನಡ
1195,Chamak,"Chamak is a 2017 Indian Kannada-language romantic comedy film written and directed by Suni and produced by T. R. Chandrashekar.[2] The film stars Ganesh as Kush, a gynaecologist and Rashmika Mandanna as Kushi, an MBA graduate event organizer.[3] The soundtrack and score is by Judah Sandhy and the cinematography is by Santhosh Rai Pathaje.","Comedy, Romance",8.0,7580818,1,Movie,15,ಕನ್ನಡ
1196,Temper,"The movie story deals with Daya a fully corrupted police officer who gets transferred to Vizag. There he joins hands with Walter Vasu and treads the corruption route.Twist in the tale arises when Daya girlfriend gets accidentally kidnapped by Walter Vasu.This incident makes Daya very angry and he goes against Vasu and his empire. During this time, Daya also comes to know that there is a bigger motive behind this kidnapping. What is that motive and will Daya manage to find out the truth and punish the culprits forms the rest of the story.",Action,7.4,5936804,1,Movie,2,हिन्दी
1301,Namaste England,"An Indian couple go to great lengths to move to London, England.",Romance,8.1,4852292,1,Movie,2,हिन्दी
1314,Jara Hatke,"Mrinal Kulkarni, Indraneil Sengupta Best Movie",Love Story,7.2,570641,1,Movie,14,मराठी
